device_id
Android 7.0 | chrome 62.0 for android
opera 49.0
Mac OS X 10_12_4 | safari generic
iOS 10.2.1 | mobile safari generic
Mac OS X 10_9_5 | chrome
Mac OS X 10_12_5 | chrome 62.0
Windows XP | chrome 49.0
chrome 55.0
Mac OS X 10_10_5 | chrome 60.0
Android | chrome 60.0
iOS 9.3.5 | mobile safari generic
Mac OS X 10_12_1 | safari generic
Android 5.0.2 | chrome 62.0 for android
Mac OS X 10.10 | firefox 56.0
Windows 7 | chrome 59.0
Android | chrome generic
func | chrome 62.0
Mac OS X 10_12_6 | chrome 63.0
Windows 10 | firefox generic
Windows 7 | firefox 56.0
Windows 7 | firefox 48.0
Android 7.1.1 | samsung browser 6.2
Windows 7 | chrome 55.0
Android 4.4.2 | chrome 60.0 for android
Windows 7 | chrome 56.0
Windows 8.1 | chrome 61.0
firefox 52.0
Mac OS X 10_11_6 | other
Android | silk
Mac OS X 10_13_2 | chrome 62.0
Mac OS X 10_10_5 | chrome 63.0
Mac OS X 10.10 | firefox 55.0
Android | chrome 50.0 for android
Windows 10 | chrome 59.0
iOS 10.1.1 | mobile safari 10.0
Windows 10 | chrome 63.0
Mac OS X 10_13_1 | chrome 59.0
Android 7.1.1 | chrome 60.0 for android
Windows 7 | chrome 63.0
firefox generic
Mac OS X 10_11_3 | chrome 63.0
Windows 10 | edge
Mac OS X 10_11_6 | chrome 63.0
chrome 57.0 for android
Mac OS X 10_13_1 | chrome 63.0
Windows 8.1 | firefox 52.0
chrome 63.0
iOS 10.3.1 | mobile safari generic
Android 4.4.2 | chrome 62.0 for android
Mac OS X 10_11_6 | chrome 60.0
Mac OS X 10_13_2 | safari generic
Mac OS X 10_11_4 | safari generic
Android | Samsung/SCH
Windows 8.1 | chrome 63.0
Android | other
Windows 8 | firefox 57.0
chrome 58.0
Mac OS X 10.13 | firefox 56.0
Mac OS X 10.12 | firefox 48.0
iOS | other
Android 6.0.1 | chrome 61.0 for android
iOS 11.1.2 | mobile safari 9.0
Windows 10 | chrome
iOS 11.0.3 | chrome 62.0 for ios
Mac OS X 10_12_4 | chrome 62.0
Android 7.0 | chrome 63.0 for android
Windows 7 | aol
iOS 10.3.3 | chrome
Mac OS X 10.11 | firefox
Android 7.1.2 | chrome 62.0 for android
samsung browser 4.0
Mac OS X 10_12_6 | chrome 57.0
Android 5.1.1 | chrome 61.0 for android
Linux | chrome 63.0
samsung browser 5.4
Mac OS X 10_6_8 | chrome
iOS 11.0.1 | mobile safari generic
Linux | firefox
iOS 9.3.5 | chrome 62.0 for ios
Android 8.0.0 | chrome 63.0 for android
mobile safari 8.0
Android 6.0 | android webview 4.0
Android 6.0.1 | chrome 56.0 for android
Android 7.0 | chrome 60.0 for android
chrome 51.0 for android
Windows 10 | chrome 58.0
Mac OS X 10_11_6 | chrome
other | Nokia/Lumia
Windows XP | chrome generic
mobile safari uiwebview
Windows 8.1 | firefox 56.0
Mac OS X 10.13 | firefox 52.0
chrome 50.0 for android
chrome 52.0 for android
chrome 53.0 for android
Android 7.0 | chrome 57.0 for android
Android | chrome generic for android
firefox 47.0
Mac OS X 10_11_3 | chrome 62.0
Mac OS X 10_12_4 | chrome 61.0
firefox 48.0
Android 4.4.2 | other
iOS 9.3.5 | chrome 63.0 for ios
Windows Vista | aol
Android 5.0.2 | chrome 53.0 for android
chrome 63.0 for android
Samsung/SM-G531H
iOS 10.3.2 | chrome 62.0 for ios
Mac OS X 10_13_2 | chrome 63.0
Mac OS X 10_12_3 | chrome 58.0
Android 5.1.1 | chrome 60.0 for android
Mac OS X 10.10 | firefox
Windows 7 | opera 49.0
iOS
Mac OS X 10_11_5 | chrome 62.0
Mac OS X 10_7_5 | safari generic
Android 5.0 | chrome 62.0 for android
Mac OS X 10_11_6 | chrome 59.0
Mac | chrome 61.0
Android 7.0 | firefox
Android 8.1.0 | chrome 63.0 for android
Mac OS X 10_12_2 | chrome 62.0
Windows 10 | chrome 51.0
Android 5.0 | other
Windows 10 | waterfox
Android 6.0.1 | chrome 50.0 for android
Mac OS X 10_12_6 | chrome 59.0
Android 6.0.1 | chrome 63.0 for android
Windows 7 | chrome generic
iOS 10.3.2 | mobile safari generic
chrome 57.0
Android 7.0 | chrome 59.0 for android
Android 5.0.2 | chrome generic
Mac OS X 10.9 | firefox 47.0
Mac OS X 10.11 | firefox 48.0
iOS 10.0.2 | mobile safari generic
Linux | firefox 57.0
Windows 8 | chrome
Windows 7 | chrome 57.0
Linux | puffin
Mac OS X 10_12_6 | chrome 60.0
Mac OS X 10_12_6 | chrome 56.0
Mac OS X 10_13_1 | chrome
Android | chrome 63.0
Android 7.1.1 | chrome 63.0 for android
iOS 11.0.0 | mobile safari generic
func | chrome 62.0 for ios
Windows 8 | chrome 63.0
Android | chrome 59.0
iOS 11.0.3 | mobile safari uiwebview
iOS 10.2.1 | mobile safari uiwebview
Windows 8 | ie
edge
opera
Android 7.0 | chrome 58.0 for android
Android 6.0.1 | other
Windows 7 | chrome 51.0
Android 8.1.0 | chrome 62.0 for android
iOS 11.0.1 | chrome 63.0 for ios
Android 5.1.1 | chrome 63.0 for android
Android | chrome 56.0
iOS 11.1.1 | chrome 62.0 for ios
Windows 8.1 | firefox
iOS 11.2.0 | chrome 62.0 for ios
Mac OS X 10_12_5 | chrome 63.0
Windows 8 | ie 11.0 for desktop
Windows 10 | cyberfox
Mac OS X 10_12_4 | chrome 63.0
Android 5.1.1 | chrome 43.0 for android
Mac OS X 10_10_5 | chrome 59.0
Android 7.1.1 | Generic/Android
iOS 11.1.2 | chrome 63.0 for ios
Linux | firefox 52.0
iOS 11.2.1 | mobile safari 11.0
Mac OS X 10_10_5 | chrome
Windows 8.1 | chrome generic
Android 6.0.1 | chrome 60.0 for android
Android 6.0.1 | chrome
Mac OS X 10_11_4 | chrome 63.0
Mac OS X 10_11_5 | chrome 58.0
Windows 8.1 | Microsoft/Windows
Android 7.0 | samsung
iOS | chrome 62.0 for ios
Android 6.0.1 | chrome 55.0 for android
iOS 10.3.3 | mobile safari uiwebview
iOS 11.2.0 | chrome 63.0 for ios
Android 5.0.2 | chrome 63.0 for android
Mac OS X 10_12_3 | chrome 63.0
Mac OS X 10.12 | firefox 52.0
Android 7.1.1 | chrome 56.0 for android
chrome 63.0 for ios
Android 4.4.2 | chrome generic
Mac OS X 10_11_5 | chrome 63.0
Mac OS X 10_11_6 | chrome 57.0
Mac OS X 10.11 | firefox 52.0
Mac OS X 10.9 | firefox
Android 7.0 | chrome generic for android
Mac OS X 10_12_1 | chrome 63.0
Windows 7 | firefox 55.0
Android 6.0 | chrome 63.0 for android
Linux | chrome 55.0
Windows 10 | chrome 57.0
Mac OS X 10_13_2 | chrome 49.0
Microsoft/Windows
Mac OS X 10_9_5 | chrome 63.0
Windows 7 | safari generic
Windows 7 | firefox 47.0
Mac OS X 10_12_6 | opera 49.0
iOS 11.2.1 | mobile safari generic
Android 5.0 | chrome 61.0 for android
Mac | chrome 63.0
iOS 11.0.1 | chrome 62.0 for ios
Android | chrome 61.0 for android
iOS 10.3.3 | chrome 63.0 for ios
Android | chrome 60.0 for android
Mac OS X 10_11_6 | chrome 51.0
edge 13.0
Mac OS X 10_11_4 | chrome 61.0
Android 5.1.1 | chrome 50.0 for android
Mac | chrome 49.0
Android 6.0 | chrome 61.0 for android
Android 7.0 | other
Android | chrome 63.0 for android
Android 6.0.1 | firefox
Android 7.1.1 | chrome
Mac | chrome 60.0
Android 5.0 | chrome 63.0 for android
Mac OS X 10_12_2 | chrome 61.0
Mac OS X 10_10_5 | chrome 56.0
Mac OS X 10_12_1 | chrome 61.0
Windows 8 | chrome 60.0
Mac OS X 10.13 | firefox
Android 7.1.1 | chrome 58.0 for android
Mac OS X 10_13_1 | chrome 58.0
iOS 11.1.1 | mobile safari 9.0
Mac OS X 10_13_3 | safari generic
Android 6.0.1 | chrome 58.0 for android
Android 7.1.1 | other
iOS 10.1.1 | mobile safari generic
Android 4.4.2 | chrome 63.0 for android
Linux | chrome 57.0
Android 7.1.2 | other
Mac OS X 10_11_3 | chrome 61.0
iOS | mobile safari uiwebview
Windows 8.1 | chrome
Windows 8.1 | opera 49.0
iOS 11.1.1 | mobile safari uiwebview
Windows 10 | chrome generic
Android 6.0 | chrome 59.0 for android
Mac OS X 10_12_3 | chrome 59.0
Windows 8 | chrome 61.0
Android 6.0 | chrome 58.0 for android
Android 7.1.1 | samsung
Android 6.0.1 | chrome 49.0 for android
ZTE/Blade
Windows Vista | chrome generic
iOS 11.2.1 | chrome 63.0 for ios
Windows 8
Windows Vista
Windows 10 | chrome 56.0
Mac OS X 10_13_1 | chrome generic
Android 7.1.1 | android webview 4.0
iOS 11.2.5 | mobile safari 11.0
Mac OS X 10_6_8 | safari
Generic/Android
Generic/Android 7.0
iOS 9.3.5
Windows 7 | firefox generic
Mac OS X 10_12_5 | chrome 60.0
iOS | mobile
chrome 43.0 for android
Android 7.1.1 | chrome 59.0 for android
Mac OS X 10_12_2 | chrome 63.0
Mac | safari
Android 5.1.1 | android browser 4.0
Android 5.0.2 | chrome 59.0 for android
Windows 10 | opera generic
Mac OS X 10_12_1 | chrome 60.0
iOS 11.0.3 | chrome 63.0 for ios
Android 7.1.2 | chrome 63.0 for android
Windows XP | firefox
android browser 4.0
Mac OS X 10_10_5 | opera 49.0
func | ie 11.0 for desktop
iOS 11.2.0 | other
Mac OS X 10_11_6 | chrome 58.0
Android 5.1.1 | other
Android 6.0.1 | samsung browser 5.4
Mac OS X 10.11 | firefox 55.0
Mac OS X 10_11_5 | chrome 61.0
Android 7.0 | samsung browser 5.2
Mac OS X 10_11_6 | chrome 55.0
func | safari generic
Android 4.4.2 | chrome 61.0 for android
Android 5.0 | chrome generic
iOS 11.2.5 | mobile safari generic
Android 5.1.1 | chrome 59.0 for android
Windows 8.1 | chrome 59.0
Android 6.0.1 | opera
Mac OS X 10_9_5 | chrome 60.0
Android 5.1.1 | chrome 56.0 for android
Android 5.1.1 | chrome 51.0 for android
Mac OS X 10_9_5 | chrome 55.0
Mac OS X 10.9 | firefox 48.0
Windows XP | firefox 47.0
Mac OS X 10_9_5 | chrome 59.0
iOS 10.3.2 | chrome 63.0 for ios
Linux | chrome
Android 7.0 | chrome 55.0 for android
Windows 7 | chrome 49.0
iOS 11.2.1 | mobile safari uiwebview
Windows Vista | chrome
chrome 49.0 for android
iOS 11.0.3 | mobile safari 9.0
iOS 11.1.0 | chrome 63.0 for ios
Android 5.1.1 | chrome 57.0 for android
iOS 11.1.1 | chrome 63.0 for ios
other | edge 16.0
Mac OS X 10_12_5 | chrome 57.0
iOS 9.3.5 | mobile safari uiwebview
Android 6.0.1 | chrome 52.0 for android
Android 7.1.2 | firefox
Mac OS X 10_13_3 | chrome 63.0
Windows | edge
Mac OS X 10.12 | firefox
Mac OS X 10.11 | firefox generic
Mac OS X 10.10 | firefox 47.0
iOS 11.0.2 | chrome 63.0 for ios
Android 8.1.0 | chrome 61.0 for android
iOS 10.3.1 | chrome
iOS 11.0.2 | chrome 62.0 for ios
maxthon
Mac OS X 10_13_2 | chrome 56.0
Windows 7 | palemoon
Mac OS X 10_11_6 | opera 49.0
iOS 11.2.1 | chrome 62.0 for ios
Android 8.1.0 | firefox
Mac OS X 10_11_3 | chrome 59.0
Mac OS X 10_10_5 | chrome 58.0
other | mobile safari 11.0
Windows 8.1 | chrome 56.0
Android | firefox
Linux | samsung browser 6.2
Android 8.0.0 | chrome 62.0 for android
Android 7.0 | opera
func | chrome 63.0 for android
Windows 10 | chrome 55.0
Android 6.0.1 | chrome 54.0 for android
Android | chrome 49.0 for android
firefox 55.0
Mac OS X 10_13_2 | chrome generic
func | chrome 63.0
Android 5.1.1 | chrome 53.0 for android
Mac OS X 10_11_3 | chrome 60.0
Mac OS X 10_12_5 | chrome 59.0
Linux
Linux | chrome generic
func | edge 15.0
Windows 8.1 | firefox generic
Android 5.1.1 | chrome 52.0 for android
Android 5.0.2 | chrome
Android 6.0 | Generic/Android
Windows 8.1 | chrome 55.0
Android 4.4.2 | chrome 56.0 for android
Mac OS X 10_12_6 | chrome generic
iOS 9.3.5 | chrome
iOS 10.3.1 | chrome 63.0 for ios
Mac OS X 10_13_2 | chrome 55.0
Android 5.0 | chrome 43.0 for android
Android | chrome 59.0 for android
Android 6.0 | chrome 55.0 for android
func | mobile safari 11.0
Mac OS X 10_11_5 | chrome 60.0
Android 6.0.1 | chrome 46.0 for android
Android 7.1.1 | chrome 61.0 for android
Android | android browser 4.0
other | mobile safari 10.0
Linux | firefox 47.0
Android 6.0 | chrome 60.0 for android
chrome generic for android
func | chrome 58.0
Mac OS X 10_12_5 | chrome 58.0
Android 7.1.2 | chrome 60.0 for android
Android 5.0.2 | chrome 60.0 for android
Mac OS X 10.13 | firefox 48.0
samsung browser 5.2
iOS 11.0.0 | chrome 63.0 for ios
Mac OS X 10_11_6 | chrome generic
line
Windows 10 | firefox 55.0
Android 5.1.1 | chrome 58.0 for android
Windows 10
iOS 11.2.2 | mobile safari 11.0
LG/K-200
opera generic
Android 6.0.1 | chrome 51.0 for android
iOS 11.2.2 | mobile safari generic
iOS 11.2.2 | chrome 63.0 for ios
iron
iOS 11.2.1 | mobile safari 9.0
Android 7.1.2 | chrome generic
iOS 11.2.2 | mobile safari uiwebview
Mac OS X 10_12_2 | chrome 58.0
BLU/Dash
Mac OS X 10_13_1 | chrome 56.0
Mac OS X 10.12 | firefox generic
Android | samsung browser 6.2
Android 4.4.2 | chrome 52.0 for android
iOS 11.3.0 | mobile safari 11.0
iOS 11.2.2 | chrome
Linux | firefox generic
Android 8.1.0 | chrome generic for android
Android 7.1.1 | chrome generic for android
Mac OS X 10.13 | firefox generic
Android 6.0.1 | chrome generic for android
Mac OS X 10.9 | firefox generic
iOS 11.2.5 | mobile safari uiwebview
firefox 58.0
Mac OS X 10.10 | firefox generic
chrome 64.0
Android | chrome 64.0
chrome 64.0 for android
Windows 10 | firefox 58.0
Windows 10 | chrome 64.0
Android 7.1.1 | chrome 64.0 for android
Android 6.0.1 | chrome 64.0 for android
Linux | chrome 64.0
Mac OS X 10_11_4 | chrome 58.0
Windows 7 | firefox 58.0
Windows 7 | chrome 64.0
Android 5.0 | chrome 64.0 for android
iOS 11.2.5 | chrome 63.0 for ios
Windows 10 | opera
Windows 7 | seamonkey
Android 7.0 | chrome 64.0 for android
Mac OS X 10_13_3 | chrome 64.0
Mac OS X 10.11 | firefox 58.0
iOS 11.2.5 | chrome 64.0 for ios
Mac OS X 10.13 | firefox 58.0
chrome 64.0 for ios
Windows 8.1 | firefox 58.0
M4Tel/M4
Mac OS X 10.9 | firefox 58.0
firefox 59.0
comodo
Mac OS X 10.10 | firefox 58.0
Mac OS X 10_7_5 | opera
Windows 10 | firefox 47.0
Mac OS X 10_11_6 | chrome 64.0
Windows 8 | chrome 64.0
Mac OS X 10_12_6 | chrome 64.0
Android 8.1.0 | chrome 64.0 for android
Mac OS X 10.12 | firefox 58.0
Mac OS X 10_13_1 | chrome 64.0
Android 6.0 | chrome 64.0 for android
Mac OS X 10_10_5 | chrome 64.0
iOS 11.2.1 | chrome 64.0 for ios
Windows 8.1 | chrome 64.0
Linux | firefox 58.0
Lanix/Ilium
iOS 11.3.0 | mobile safari generic
Mac OS X 10_13_2 | chrome 64.0
Mac OS X 10_9_5 | chrome 64.0
iOS 10.3.3 | chrome 64.0 for ios
Mac OS X 10.12 | firefox 55.0
Android | chrome 64.0 for android
Windows 8 | firefox 58.0
iOS | chrome
Mac | chrome 64.0
Windows 7 | firefox 59.0
Mac OS X 10_13_3 | chrome 49.0
Windows 10 | firefox 59.0
Windows 8.1 | opera
Android 5.0.2 | chrome 64.0 for android
Mac OS X 10_11_5 | chrome 64.0
Mac OS X 10_12_5 | chrome 64.0
Mac OS X 10_13_3 | chrome 58.0
Android 5.1.1 | chrome 64.0 for android
Android 7.1.1 | samsung browser generic
Mac OS X 10_13_2 | chrome 58.0
chromium
Android 7.1.1 | chrome 55.0 for android
Android 4.4.2 | chrome 64.0 for android
samsung browser generic
Windows 10 | palemoon
iOS 11.2.6 | mobile safari generic
Mac OS X 10_13_4 | chrome 64.0
Android 7.0 | samsung browser generic
Mac OS X 10_11_4 | chrome 64.0
opera 51.0
Android 7.1.2 | chrome 58.0 for android
other | chrome generic
Mac OS X 10_12_3 | chrome 64.0
Android 8.0.0 | chrome 64.0 for android
Android 7.1.2 | chrome 64.0 for android
Windows 10 | opera 51.0
Inco/Minion
Mac OS X 10_12_6 | chrome 55.0
Mac OS X 10_11_6 | opera 51.0
other | mobile safari generic
Mac OS X 10_10_5 | chrome generic
Android 6.0.1 | samsung browser generic
Windows
iOS 11.2.6 | chrome 64.0 for ios
Mac | chrome generic
Android 8.1.0
Android 8.0.0 | chrome generic for android
Mac OS X 10.10 | firefox 52.0
Mac OS X 10_12_1 | chrome 64.0
Mac OS X 10_13_3 | chrome 62.0
Android 7.1.2 | chrome generic for android
Android 8.0.0 | chrome generic
Mac OS X 10_13_3 | chrome generic
Windows 7 | opera 51.0
Android 6.0 | chrome generic for android
Mac OS X 10_12_4 | chrome 64.0
iOS 11.0.3 | chrome
samsung browser 7.0
Windows 8.1 | firefox 59.0
Mac OS X 10.10 | firefox 59.0
Mac OS X 10.13 | firefox 59.0
samsung browser 6.4
chrome 65.0
Windows 10 | chrome 65.0
Linux | chrome 65.0
Android 7.0 | chrome 65.0 for android
Mac OS X 10_12_6 | chrome 65.0
Mac OS X 10_10_5 | chrome 65.0
Mac OS X 10_13_4 | chrome generic
chrome 65.0 for android
Mac OS X 10_13_1 | chrome 65.0
Windows 7 | chrome 65.0
Mac OS X 10.12 | firefox 59.0
Mac OS X 10_13_4 | safari generic
Mac OS X 10_11_6 | chrome 65.0
Android 6.0.1 | chrome 65.0 for android
Mac OS X 10_11_5 | chrome 65.0
Mac OS X 10_13_3 | chrome 65.0
Mac OS X 10.11 | firefox 59.0
Android 5.1.1 | chrome 65.0 for android
Android 7.1.1 | samsung browser 6.4
Mac OS X 10_12_5 | chrome generic
Android | chrome 65.0
Mac OS X 10_9_5
Mac | chrome 65.0
Mac OS X 10.9 | firefox 59.0
Android 7.0 | samsung browser 6.4
Linux | firefox 59.0
iOS 11.2.6 | chrome
Android 8.1.0 | chrome 65.0 for android
Mac OS X 10_13_2 | chrome 65.0
Android 7.1.1 | chrome 65.0 for android
Mac OS X 10_9_5 | chrome 65.0
Mozilla/Firefox
samsung browser 4.2
Mac OS X 10_11_4 | chrome generic
Mac OS X 10_12_4 | chrome generic
Windows 8.1 | chrome 65.0
Android 5.0 | chrome 65.0 for android
samsung
Android | chrome 65.0 for android
chrome 65.0 for ios
Android 8.0.0 | chrome 65.0 for android
Android
Linux | Generic/Android 7.0
iOS 11.2.6 | chrome 65.0 for ios
Android 5.0 | chrome 59.0 for android
Windows 8 | chrome 65.0
Android 4.4.2 | chrome 65.0 for android
Android 8.0.0 | samsung browser 7.0
Mac OS X 10_12_5 | chrome 65.0
Mac OS X 10_11_4 | chrome 65.0
Cherry
Android 5.0.2 | chrome 52.0 for android
Android 6.0.1 | samsung browser 6.4
Android 5.0.2 | chrome 65.0 for android
Windows 10 | icedragon
Mac OS X 10_13_3 | chrome 59.0
Mac OS X 10_11_3 | chrome 65.0
iOS 10.3.3 | chrome 65.0 for ios
iOS 11.2.5 | chrome 65.0 for ios
Mac OS X 10_13_4 | chrome 65.0
iOS 11.3.0 | chrome 65.0 for ios
iOS 11.0.3 | chrome 65.0 for ios
Mac OS X 10_12_4 | chrome 65.0
Mac OS X 10_13_5 | chrome 65.0
Android 7.1.2 | chrome 65.0 for android
Android 8.0.0 | other
Windows 10 | comodo
Linux | samsung browser 6.4
iOS 11.2.6 | mobile safari uiwebview
Android 6.0 | chrome 65.0 for android
Windows 7 | opera generic
Mac | firefox
Mac OS X 10_12_2 | chrome 65.0
Mac OS X 10_13_5 | safari generic
Windows 8.1
android
iOS 11.0.1 | chrome 65.0 for ios
Windows 8 | chrome generic
Android 5.1.1 | chrome 54.0 for android
iOS 11.3.0 | chrome
Mac OS X 10_12_3 | chrome generic
iOS 11.2.5 | chrome
iOS 11.4.0 | mobile safari generic
Mac OS X 10_13_4 | chrome 62.0
Android 8.0.0 | android webview 4.0
other | opera
other | chrome 61.0
iOS 11.3.0 | mobile safari uiwebview
Mac OS X 10.6 | firefox 47.0
Android | chrome 58.0
iOS 11.3.1 | mobile safari generic
Mac OS X 10_9_5 | chrome 56.0
chrome 66.0
Windows 10 | chrome 66.0
Mac OS X 10_13_1 | chrome 66.0
Windows 8.1 | chrome 66.0
safari 11.0
Windows 7 | chrome 66.0
iOS 11.2.6 | google
Mac OS X 10_13_4 | safari 11.0
Mac OS X 10_13_2 | chrome 66.0
chrome 66.0 for android
Mac OS X 10_13_4 | chrome 66.0
Mac OS X 10_10_5 | chrome 66.0
Linux | chrome 66.0
Mac OS X 10_12_5 | chrome 66.0
Windows 10 | edge 17.0
Mac OS X 10_12_6 | chrome 66.0
Mac OS X 10_11_6 | chrome 66.0
Mac OS X 10_11_6 | safari 11.0
Mac OS X 10_12_6 | safari 11.0
Windows 8.1 | ie 11.0 for tablet
Mac OS X 10_10_5 | safari 10.0
Android 7.0 | chrome 66.0 for android
Windows 8.1 | ie
iOS 11.2.6 | google search application 48.0
Android 7.1.1 | chrome 66.0 for android
chrome 66.0 for ios
iOS 9.3.5 | google
safari 10.0
iOS 11.3.1 | chrome 66.0 for ios
Mac OS X 10_9_5 | safari 9.0
Mac OS X 10_13_3 | safari 11.0
Mac OS X 10_13_3 | chrome 66.0
Mac OS X 10_13_2 | safari 11.0
Android | chrome 66.0
iOS 11.2.6 | mobile safari 11.0
Mac OS X 10_11_5 | safari 9.0
safari 9.0
Android 4.4.2 | android browser 4.0
Android 8.0.0 | chrome 66.0 for android
Mac OS X 10_12_6 | chrome
iOS 11.2.5 | chrome 66.0 for ios
Android 5.1.1 | chrome 66.0 for android
Mac OS X 10_11_6 | safari 9.0
iOS 11.3.1 | google search application 48.0
Windows 8 | chrome 66.0
Mac OS X 10_11_4 | safari 9.0
Mac OS X 10_10_5 | safari 9.0
