card_id,customer_id
C07855-K1,C07855
C11965-K1,C11965
C05263-K2,C05263
C02575-K2,C02575
C06655-K1,C06655
C05245-K2,C05245
C06532-K2,C06532
C03409-K1,C03409
C04108-K2,C04108
C01981-K1,C01981
C09612-K1,C09612
C00750-K2,C00750
C11919-K2,C11919
C07196-K2,C07196
C08460-K1,C08460
C08466-K1,C08466
C04346-K2,C04346
C11513-K1,C11513
C02891-K1,C02891
C01982-K2,C01982
C08474-K1,C08474
C05029-K1,C05029
C10127-K2,C10127
C07936-K2,C07936
C13036-K1,C13036
C01521-K2,C01521
C03341-K2,C03341
C12982-K1,C12982
C01058-K1,C01058
C02480-K1,C02480
C01347-K2,C01347
C08087-K1,C08087
C06121-K2,C06121
C10553-K1,C10553
C06224-K2,C06224
C07870-K2,C07870
C06549-K1,C06549
C12103-K1,C12103
C00967-K1,C00967
C00728-K2,C00728
C06942-K2,C06942
C12961-K2,C12961
C01984-K1,C01984
C03040-K2,C03040
C02309-K2,C02309
C11944-K1,C11944
C03080-K2,C03080
C05362-K1,C05362
C00614-K2,C00614
C01966-K1,C01966
C12897-K1,C12897
C01138-K2,C01138
C09791-K1,C09791
C11332-K1,C11332
C04105-K2,C04105
C07686-K1,C07686
C05309-K1,C05309
C06605-K1,C06605
C03278-K2,C03278
C01155-K2,C01155
C07981-K1,C07981
C12223-K1,C12223
C11597-K2,C11597
C01040-K2,C01040
C01179-K1,C01179
C02716-K2,C02716
C09800-K2,C09800
C04965-K2,C04965
C03787-K1,C03787
C11642-K1,C11642
C12144-K2,C12144
C09666-K2,C09666
C10040-K1,C10040
C02065-K1,C02065
C02245-K2,C02245
C02902-K2,C02902
C08450-K2,C08450
C01486-K1,C01486
C11709-K2,C11709
C06764-K2,C06764
C10930-K2,C10930
C04134-K1,C04134
C11509-K2,C11509
C01116-K2,C01116
C04348-K1,C04348
C01119-K2,C01119
C05689-K2,C05689
C00777-K1,C00777
C11898-K1,C11898
C02897-K1,C02897
C02231-K2,C02231
C02776-K1,C02776
C06630-K2,C06630
C01887-K1,C01887
C07743-K2,C07743
C02250-K2,C02250
C07204-K1,C07204
C06464-K1,C06464
C00273-K1,C00273
C00426-K2,C00426
C07993-K1,C07993
C06962-K2,C06962
C12542-K1,C12542
C09146-K1,C09146
C05359-K1,C05359
C13364-K1,C13364
C11092-K2,C11092
C00952-K1,C00952
C01377-K1,C01377
C01175-K1,C01175
C03168-K1,C03168
C02545-K2,C02545
C03405-K2,C03405
C01909-K2,C01909
C08381-K1,C08381
C06168-K1,C06168
C05423-K1,C05423
C11958-K1,C11958
C09241-K2,C09241
C02354-K2,C02354
C06707-K1,C06707
C02656-K1,C02656
C04046-K2,C04046
C11294-K2,C11294
C06797-K1,C06797
C01269-K1,C01269
C09363-K2,C09363
C05739-K2,C05739
C02222-K1,C02222
C11019-K2,C11019
C06663-K2,C06663
C06108-K1,C06108
C12602-K1,C12602
C08256-K2,C08256
C07871-K1,C07871
C11191-K1,C11191
C02456-K1,C02456
C10757-K2,C10757
C12742-K1,C12742
C01983-K1,C01983
C13253-K2,C13253
C10955-K2,C10955
C10983-K1,C10983
C03047-K2,C03047
C13388-K1,C13388
C05509-K1,C05509
C08489-K2,C08489
C03474-K1,C03474
C04269-K1,C04269
C00622-K1,C00622
C10132-K1,C10132
C03381-K1,C03381
C05530-K2,C05530
C08679-K1,C08679
C07717-K1,C07717
C03397-K1,C03397
C07006-K1,C07006
C08190-K2,C08190
C12453-K1,C12453
C06744-K2,C06744
C04571-K2,C04571
C06362-K1,C06362
C07513-K1,C07513
C10402-K1,C10402
C01426-K1,C01426
C03231-K2,C03231
C11148-K1,C11148
C11246-K1,C11246
C13081-K1,C13081
C04865-K1,C04865
C11522-K2,C11522
C11970-K1,C11970
C10852-K1,C10852
C07845-K2,C07845
C02147-K2,C02147
C00889-K2,C00889
C09657-K2,C09657
C10372-K1,C10372
C11847-K2,C11847
C13449-K1,C13449
C02780-K2,C02780
C02181-K2,C02181
C02231-K1,C02231
C08482-K1,C08482
C00810-K1,C00810
C01719-K1,C01719
C08989-K2,C08989
C10840-K1,C10840
C02809-K2,C02809
C03427-K2,C03427
C09296-K1,C09296
C01890-K1,C01890
C12861-K1,C12861
C00488-K1,C00488
C11951-K1,C11951
C07295-K1,C07295
C01104-K2,C01104
C03676-K2,C03676
C09806-K1,C09806
C09344-K1,C09344
C00557-K1,C00557
C11381-K2,C11381
C04196-K2,C04196
C11352-K1,C11352
C07615-K1,C07615
C03285-K2,C03285
C02740-K1,C02740
C05791-K2,C05791
C08366-K2,C08366
C03264-K1,C03264
C11460-K1,C11460
C11173-K1,C11173
C03360-K1,C03360
C12680-K1,C12680
C09521-K2,C09521
C02842-K1,C02842
C05031-K2,C05031
C00008-K2,C00008
C12966-K1,C12966
C09872-K1,C09872
C10032-K2,C10032
C02715-K1,C02715
C11787-K1,C11787
C03898-K1,C03898
C05942-K1,C05942
C09579-K2,C09579
C05504-K1,C05504
C08962-K2,C08962
C07703-K2,C07703
C06324-K1,C06324
C06872-K1,C06872
C01525-K2,C01525
C12656-K1,C12656
C10568-K1,C10568
C11915-K1,C11915
C02882-K1,C02882
C09868-K1,C09868
C09286-K1,C09286
C00477-K2,C00477
C06299-K1,C06299
C10519-K1,C10519
C02279-K1,C02279
C03992-K2,C03992
C13527-K1,C13527
C04034-K2,C04034
C02320-K2,C02320
C08917-K1,C08917
C10139-K1,C10139
C00796-K1,C00796
C03019-K2,C03019
C09206-K2,C09206
C07338-K1,C07338
C03465-K1,C03465
C12641-K2,C12641
C06257-K1,C06257
C05302-K1,C05302
C08161-K1,C08161
C03933-K1,C03933
C06210-K1,C06210
C12703-K1,C12703
C04709-K2,C04709
C09471-K2,C09471
C07562-K2,C07562
C06026-K2,C06026
C06906-K1,C06906
C13410-K1,C13410
C12258-K2,C12258
C12011-K1,C12011
C10273-K1,C10273
C08947-K1,C08947
C08831-K1,C08831
C05986-K2,C05986
C10010-K1,C10010
C00076-K1,C00076
C01954-K1,C01954
C13447-K1,C13447
C00329-K2,C00329
C11865-K1,C11865
C10837-K2,C10837
C06855-K1,C06855
C11001-K1,C11001
C00294-K2,C00294
C03550-K1,C03550
C13450-K1,C13450
C01846-K1,C01846
C01864-K1,C01864
C07841-K1,C07841
C01721-K2,C01721
C13058-K2,C13058
C02708-K1,C02708
C02971-K1,C02971
C09274-K1,C09274
C09259-K1,C09259
C11859-K1,C11859
C13249-K1,C13249
C05203-K1,C05203
C06658-K1,C06658
C03517-K1,C03517
C12942-K2,C12942
C02589-K1,C02589
C01856-K1,C01856
C00912-K1,C00912
C08587-K1,C08587
C03999-K1,C03999
C03558-K1,C03558
C05797-K1,C05797
C01656-K1,C01656
C01226-K1,C01226
C11916-K1,C11916
C08994-K1,C08994
C11416-K2,C11416
C01987-K1,C01987
C05678-K1,C05678
C10266-K1,C10266
C01333-K2,C01333
C07990-K1,C07990
C06166-K1,C06166
C01435-K1,C01435
C06031-K2,C06031
C08614-K1,C08614
C06728-K1,C06728
C11637-K1,C11637
C10422-K2,C10422
C02466-K1,C02466
C04146-K1,C04146
C11702-K1,C11702
C03042-K1,C03042
C04650-K1,C04650
C09443-K1,C09443
C07336-K1,C07336
C11798-K1,C11798
C03066-K1,C03066
C03288-K1,C03288
C00051-K1,C00051
C06220-K1,C06220
C05977-K1,C05977
C02444-K1,C02444
C05128-K1,C05128
C11061-K1,C11061
C07164-K1,C07164
C05410-K1,C05410
C12132-K2,C12132
C01922-K2,C01922
C06006-K1,C06006
C00768-K2,C00768
C01123-K1,C01123
C00094-K3,C00094
C04549-K1,C04549
C08746-K1,C08746
C12681-K1,C12681
C01109-K2,C01109
C03843-K1,C03843
C03184-K1,C03184
C10632-K1,C10632
C04072-K2,C04072
C13389-K1,C13389
C02814-K1,C02814
C05753-K1,C05753
C10766-K1,C10766
C02182-K1,C02182
C08707-K1,C08707
C00725-K1,C00725
C07957-K1,C07957
C07901-K1,C07901
C06341-K1,C06341
C10933-K1,C10933
C04024-K2,C04024
C12007-K2,C12007
C00534-K2,C00534
C13037-K1,C13037
C01182-K1,C01182
C09586-K2,C09586
C04775-K1,C04775
C01529-K1,C01529
C08797-K1,C08797
C03271-K1,C03271
C08106-K1,C08106
C11558-K2,C11558
C05381-K2,C05381
C12448-K1,C12448
C11413-K1,C11413
C02921-K1,C02921
C07311-K1,C07311
C11807-K1,C11807
C06598-K1,C06598
C09043-K1,C09043
C01727-K2,C01727
C07997-K1,C07997
C07452-K1,C07452
C12476-K1,C12476
C11187-K1,C11187
C10799-K1,C10799
C12591-K1,C12591
C10024-K1,C10024
C01578-K1,C01578
C05684-K1,C05684
C04446-K1,C04446
C09246-K1,C09246
C07050-K1,C07050
C12626-K2,C12626
C13190-K2,C13190
C00983-K1,C00983
C10137-K2,C10137
C09554-K1,C09554
C11529-K1,C11529
C12250-K1,C12250
C11855-K1,C11855
C01953-K2,C01953
C01782-K2,C01782
C13139-K1,C13139
C10320-K1,C10320
C06420-K1,C06420
C05127-K1,C05127
C09314-K1,C09314
C11852-K1,C11852
C11055-K1,C11055
C01881-K1,C01881
C07518-K2,C07518
C11269-K1,C11269
C08424-K1,C08424
C10771-K1,C10771
C00649-K1,C00649
C07341-K1,C07341
C12420-K1,C12420
C02214-K2,C02214
C02749-K1,C02749
C07360-K1,C07360
C10149-K1,C10149
C02266-K2,C02266
C02082-K1,C02082
C11343-K1,C11343
C10760-K2,C10760
C10459-K1,C10459
C04435-K1,C04435
C08374-K1,C08374
C07910-K1,C07910
C05175-K1,C05175
C06265-K1,C06265
C08637-K2,C08637
C02436-K1,C02436
C10364-K1,C10364
C02342-K1,C02342
C11873-K2,C11873
C08593-K1,C08593
C11237-K1,C11237
C10998-K1,C10998
C04361-K2,C04361
C11143-K1,C11143
C13019-K1,C13019
C04726-K1,C04726
C11159-K1,C11159
C00331-K1,C00331
C11298-K2,C11298
C08348-K1,C08348
C00306-K1,C00306
C06511-K1,C06511
C06682-K1,C06682
C07223-K1,C07223
C03095-K2,C03095
C02646-K1,C02646
C10986-K2,C10986
C10026-K1,C10026
C11397-K1,C11397
C09508-K1,C09508
C10264-K1,C10264
C00409-K1,C00409
C09468-K2,C09468
C05472-K1,C05472
C01154-K1,C01154
C08662-K1,C08662
C13007-K1,C13007
C11730-K1,C11730
C11792-K1,C11792
C10434-K1,C10434
C08894-K1,C08894
C08014-K1,C08014
C08281-K2,C08281
C07878-K1,C07878
C09420-K2,C09420
C06228-K1,C06228
C02205-K1,C02205
C08072-K1,C08072
C02566-K1,C02566
C04759-K1,C04759
C01569-K1,C01569
C04840-K1,C04840
C11190-K1,C11190
C05061-K1,C05061
C03467-K1,C03467
C06190-K1,C06190
C12061-K2,C12061
C07638-K1,C07638
C12002-K1,C12002
C01563-K1,C01563
C06837-K1,C06837
C04968-K1,C04968
C12276-K1,C12276
C08269-K1,C08269
C07102-K1,C07102
C05551-K2,C05551
C11080-K1,C11080
C06677-K1,C06677
C03252-K1,C03252
C06320-K1,C06320
C01482-K1,C01482
C02387-K1,C02387
C12920-K1,C12920
C10957-K2,C10957
C02883-K2,C02883
C12267-K2,C12267
C07096-K2,C07096
C05192-K2,C05192
C04277-K1,C04277
C10224-K1,C10224
C10715-K2,C10715
C04741-K1,C04741
C07227-K2,C07227
C07925-K1,C07925
C01823-K1,C01823
C01244-K1,C01244
C10507-K2,C10507
C10871-K1,C10871
C12991-K1,C12991
C02472-K1,C02472
C10485-K1,C10485
C01408-K1,C01408
C10215-K1,C10215
C05230-K1,C05230
C11444-K1,C11444
C12971-K1,C12971
C07171-K2,C07171
C05303-K1,C05303
C11323-K1,C11323
C08845-K3,C08845
C03750-K1,C03750
C10615-K1,C10615
C12738-K1,C12738
C10849-K1,C10849
C00019-K1,C00019
C09882-K1,C09882
C01755-K2,C01755
C10883-K1,C10883
C10755-K1,C10755
C00844-K1,C00844
C11164-K1,C11164
C11543-K2,C11543
C06331-K2,C06331
C04172-K2,C04172
C07826-K1,C07826
C11065-K1,C11065
C08315-K1,C08315
C00790-K1,C00790
C00235-K2,C00235
C03786-K1,C03786
C07698-K1,C07698
C04125-K2,C04125
C08918-K2,C08918
C04928-K1,C04928
C01196-K1,C01196
C05533-K1,C05533
C09583-K1,C09583
C05992-K1,C05992
C12028-K2,C12028
C10924-K2,C10924
C13147-K1,C13147
C01403-K1,C01403
C09063-K1,C09063
C13086-K2,C13086
C00583-K1,C00583
C12889-K1,C12889
C02800-K1,C02800
C04537-K1,C04537
C07919-K2,C07919
C02121-K1,C02121
C03363-K2,C03363
C01301-K1,C01301
C13067-K1,C13067
C04754-K1,C04754
C06215-K1,C06215
C06708-K2,C06708
C03770-K1,C03770
C02055-K1,C02055
C02177-K1,C02177
C07685-K1,C07685
C07761-K1,C07761
C00466-K1,C00466
C06001-K1,C06001
C01063-K2,C01063
C06373-K1,C06373
C12947-K1,C12947
C02188-K1,C02188
C04710-K1,C04710
C12913-K1,C12913
C04117-K2,C04117
C03485-K1,C03485
C08438-K1,C08438
C03539-K1,C03539
C01392-K1,C01392
C00299-K1,C00299
C13492-K1,C13492
C04077-K1,C04077
C01744-K2,C01744
C00887-K1,C00887
C02756-K1,C02756
C01137-K1,C01137
C12382-K1,C12382
C00450-K1,C00450
C12309-K1,C12309
C05155-K1,C05155
C08943-K2,C08943
C07646-K2,C07646
C08302-K1,C08302
C06694-K1,C06694
C13175-K1,C13175
C10502-K1,C10502
C09092-K1,C09092
C09848-K2,C09848
C07791-K1,C07791
C06996-K1,C06996
C10305-K1,C10305
C13332-K1,C13332
C01730-K1,C01730
C00263-K1,C00263
C03872-K1,C03872
C11586-K1,C11586
C01855-K2,C01855
C09681-K1,C09681
C01961-K1,C01961
C03146-K1,C03146
C02627-K1,C02627
C03303-K1,C03303
C12417-K1,C12417
C01500-K1,C01500
C05600-K1,C05600
C12063-K1,C12063
C05467-K1,C05467
C05097-K2,C05097
C00997-K1,C00997
C11429-K1,C11429
C12930-K1,C12930
C05398-K1,C05398
C07130-K1,C07130
C08363-K1,C08363
C06024-K1,C06024
C06343-K1,C06343
C09055-K1,C09055
C04729-K1,C04729
C01614-K1,C01614
C00178-K1,C00178
C09902-K2,C09902
C04533-K1,C04533
C10455-K1,C10455
C05485-K1,C05485
C10346-K1,C10346
C11533-K2,C11533
C09663-K1,C09663
C05853-K1,C05853
C11041-K1,C11041
C01935-K1,C01935
C09394-K1,C09394
C09365-K2,C09365
C06947-K2,C06947
C08646-K1,C08646
C11458-K1,C11458
C08723-K1,C08723
C03136-K1,C03136
C09823-K1,C09823
C10690-K1,C10690
C08850-K1,C08850
C04893-K1,C04893
C04437-K1,C04437
C03218-K2,C03218
C09445-K1,C09445
C09855-K2,C09855
C10559-K1,C10559
C12532-K1,C12532
C07708-K1,C07708
C10343-K1,C10343
C12707-K1,C12707
C07784-K1,C07784
C02949-K1,C02949
C10574-K1,C10574
C09742-K2,C09742
C05560-K2,C05560
C08541-K1,C08541
C02285-K2,C02285
C10476-K1,C10476
C10114-K1,C10114
C09294-K1,C09294
C01618-K2,C01618
C09359-K1,C09359
C03433-K1,C03433
C12203-K1,C12203
C06669-K1,C06669
C13241-K1,C13241
C05479-K1,C05479
C05772-K1,C05772
C00942-K2,C00942
C12450-K1,C12450
C08391-K2,C08391
C01797-K1,C01797
C09490-K2,C09490
C09720-K1,C09720
C09927-K1,C09927
C08140-K1,C08140
C10999-K1,C10999
C08186-K1,C08186
C08347-K1,C08347
C00532-K1,C00532
C08222-K1,C08222
C08965-K1,C08965
C10016-K2,C10016
C07247-K1,C07247
C03125-K2,C03125
C07253-K1,C07253
C09683-K1,C09683
C08011-K1,C08011
C00353-K1,C00353
C08841-K1,C08841
C09687-K1,C09687
C03773-K2,C03773
C05826-K1,C05826
C09251-K1,C09251
C03714-K1,C03714
C06897-K1,C06897
C09026-K1,C09026
C05770-K1,C05770
C03656-K2,C03656
C01534-K1,C01534
C06079-K1,C06079
C01115-K1,C01115
C11704-K1,C11704
C12758-K1,C12758
C06851-K1,C06851
C06240-K1,C06240
C05106-K1,C05106
C04313-K1,C04313
C12748-K2,C12748
C03295-K2,C03295
C08372-K1,C08372
C07687-K1,C07687
C04068-K1,C04068
C13521-K1,C13521
C04715-K1,C04715
C01828-K2,C01828
C13432-K1,C13432
C09149-K1,C09149
C04307-K1,C04307
C11554-K1,C11554
C05116-K1,C05116
C01599-K1,C01599
C08040-K1,C08040
C08483-K1,C08483
C10578-K1,C10578
C01812-K1,C01812
C07678-K1,C07678
C01513-K1,C01513
C06835-K2,C06835
C08611-K1,C08611
C07729-K1,C07729
C04570-K1,C04570
C12717-K1,C12717
C07256-K2,C07256
C06084-K2,C06084
C08971-K1,C08971
C10639-K1,C10639
C07655-K1,C07655
C02193-K1,C02193
C01365-K1,C01365
C03657-K1,C03657
C10526-K1,C10526
C03418-K1,C03418
C13227-K1,C13227
C10421-K1,C10421
C10745-K1,C10745
C07694-K1,C07694
C01542-K1,C01542
C09651-K1,C09651
C07614-K2,C07614
C09918-K1,C09918
C04505-K1,C04505
C12754-K1,C12754
C11307-K1,C11307
C10426-K1,C10426
C01494-K1,C01494
C04306-K1,C04306
C07185-K2,C07185
C00805-K1,C00805
C12793-K1,C12793
C11375-K1,C11375
C12397-K1,C12397
C04798-K2,C04798
C02170-K1,C02170
C08232-K1,C08232
C09491-K1,C09491
C11629-K1,C11629
C07480-K1,C07480
C10037-K1,C10037
C01209-K1,C01209
C07671-K2,C07671
C10158-K1,C10158
C07221-K1,C07221
C03647-K1,C03647
C06650-K2,C06650
C12736-K1,C12736
C05454-K1,C05454
C05595-K1,C05595
C11339-K1,C11339
C10165-K1,C10165
C01799-K2,C01799
C12585-K1,C12585
C03263-K1,C03263
C11490-K1,C11490
C13407-K1,C13407
C05906-K1,C05906
C01688-K1,C01688
C05490-K1,C05490
C07809-K1,C07809
C02667-K1,C02667
C05234-K1,C05234
C02502-K2,C02502
C09533-K1,C09533
C04488-K1,C04488
C04984-K2,C04984
C05958-K1,C05958
C11201-K1,C11201
C08834-K1,C08834
C08288-K1,C08288
C03702-K1,C03702
C06588-K1,C06588
C01328-K1,C01328
C04350-K1,C04350
C03234-K1,C03234
C07027-K1,C07027
C00296-K1,C00296
C08623-K2,C08623
C12036-K2,C12036
C01166-K1,C01166
C06247-K1,C06247
C03598-K2,C03598
C00405-K1,C00405
C11247-K1,C11247
C00280-K2,C00280
C03488-K2,C03488
C06005-K1,C06005
C09260-K1,C09260
C11053-K1,C11053
C05174-K1,C05174
C01224-K1,C01224
C00667-K1,C00667
C08597-K2,C08597
C05243-K1,C05243
C09664-K1,C09664
C09582-K1,C09582
C07872-K2,C07872
C09899-K1,C09899
C00956-K1,C00956
C08290-K2,C08290
C01122-K1,C01122
C01178-K1,C01178
C05747-K1,C05747
C08727-K1,C08727
C11329-K1,C11329
C10962-K1,C10962
C07448-K1,C07448
C06742-K1,C06742
C12785-K2,C12785
C06956-K1,C06956
C11871-K1,C11871
C05487-K1,C05487
C08605-K1,C08605
C05985-K2,C05985
C06067-K2,C06067
C05585-K1,C05585
C10634-K1,C10634
C08909-K2,C08909
C09799-K1,C09799
C10333-K1,C10333
C07840-K1,C07840
C12399-K1,C12399
C02753-K1,C02753
C12682-K1,C12682
C09939-K1,C09939
C11034-K1,C11034
C01765-K1,C01765
C11906-K1,C11906
C12901-K1,C12901
C04185-K2,C04185
C03527-K1,C03527
C13507-K1,C13507
C03831-K1,C03831
C05967-K1,C05967
C04803-K1,C04803
C02686-K1,C02686
C04860-K1,C04860
C13254-K1,C13254
C05039-K1,C05039
C05484-K1,C05484
C11577-K1,C11577
C00018-K1,C00018
C01784-K1,C01784
C08455-K1,C08455
C10838-K1,C10838
C05390-K1,C05390
C09530-K1,C09530
C07033-K1,C07033
C09999-K1,C09999
C00606-K1,C00606
C09691-K1,C09691
C03971-K1,C03971
C06986-K1,C06986
C02554-K1,C02554
C13268-K1,C13268
C09884-K1,C09884
C07086-K1,C07086
C10900-K1,C10900
C12578-K1,C12578
C03571-K1,C03571
C01010-K1,C01010
C08108-K1,C08108
C03181-K1,C03181
C01140-K1,C01140
C05142-K1,C05142
C05916-K1,C05916
C03778-K1,C03778
C09804-K1,C09804
C06606-K1,C06606
C03708-K2,C03708
C13256-K1,C13256
C13095-K1,C13095
C06795-K1,C06795
C07162-K1,C07162
C03096-K1,C03096
C07180-K1,C07180
C03824-K1,C03824
C01295-K1,C01295
C11933-K1,C11933
C03273-K1,C03273
C09047-K1,C09047
C10935-K1,C10935
C09665-K1,C09665
C13392-K1,C13392
C00391-K1,C00391
C06437-K1,C06437
C10207-K1,C10207
C02226-K1,C02226
C10092-K1,C10092
C12412-K1,C12412
C07522-K1,C07522
C12160-K1,C12160
C10045-K1,C10045
C10388-K1,C10388
C05141-K1,C05141
C08799-K1,C08799
C09249-K1,C09249
C03650-K1,C03650
C00604-K1,C00604
C13163-K1,C13163
C07987-K2,C07987
C12305-K1,C12305
C11199-K1,C11199
C11239-K1,C11239
C12586-K1,C12586
C04641-K1,C04641
C00637-K1,C00637
C06134-K1,C06134
C07035-K1,C07035
C09947-K1,C09947
C07612-K1,C07612
C04150-K1,C04150
C07053-K1,C07053
C01810-K1,C01810
C13514-K1,C13514
C11156-K1,C11156
C11998-K1,C11998
C09159-K1,C09159
C11291-K1,C11291
C04424-K1,C04424
C04022-K1,C04022
C13328-K1,C13328
C10276-K1,C10276
C11780-K1,C11780
C12211-K2,C12211
C08375-K1,C08375
C11257-K1,C11257
C00463-K1,C00463
C08111-K1,C08111
C00820-K1,C00820
C08980-K1,C08980
C03394-K2,C03394
C12646-K1,C12646
C03050-K1,C03050
C11010-K1,C11010
C12773-K1,C12773
C05008-K1,C05008
C05215-K1,C05215
C08748-K1,C08748
C10835-K2,C10835
C03630-K1,C03630
C02377-K1,C02377
C04921-K2,C04921
C00400-K1,C00400
C10442-K1,C10442
C12291-K1,C12291
C11929-K2,C11929
C06339-K1,C06339
C09757-K1,C09757
C09602-K1,C09602
C05294-K1,C05294
C10055-K1,C10055
C01370-K1,C01370
C09173-K1,C09173
C06313-K1,C06313
C04848-K1,C04848
C12658-K1,C12658
C06948-K1,C06948
C02111-K1,C02111
C10263-K1,C10263
C05312-K1,C05312
C06954-K1,C06954
C00210-K1,C00210
C01459-K1,C01459
C00871-K1,C00871
C05011-K1,C05011
C04618-K1,C04618
C10770-K1,C10770
C09803-K1,C09803
C04258-K1,C04258
C06117-K1,C06117
C04776-K1,C04776
C10890-K1,C10890
C10390-K1,C10390
C06788-K1,C06788
C06303-K1,C06303
C00745-K1,C00745
C04010-K1,C04010
C00969-K2,C00969
C08944-K1,C08944
C00580-K1,C00580
C02559-K1,C02559
C02094-K1,C02094
C00841-K1,C00841
C13404-K1,C13404
C05871-K1,C05871
C08632-K1,C08632
C12265-K2,C12265
C03696-K1,C03696
C07944-K1,C07944
C06036-K1,C06036
C09616-K1,C09616
C07293-K1,C07293
C04834-K1,C04834
C06779-K1,C06779
C02139-K1,C02139
C12251-K1,C12251
C11713-K1,C11713
C10733-K1,C10733
C02639-K1,C02639
C10898-K1,C10898
C07505-K1,C07505
C10879-K1,C10879
C01685-K1,C01685
C10399-K1,C10399
C12136-K2,C12136
C11749-K1,C11749
C07194-K1,C07194
C10601-K1,C10601
C10520-K1,C10520
C10906-K1,C10906
C05957-K2,C05957
C09121-K1,C09121
C07523-K1,C07523
C00513-K1,C00513
C00334-K1,C00334
C03637-K1,C03637
C04280-K1,C04280
C06269-K1,C06269
C02923-K1,C02923
C02810-K1,C02810
C12983-K1,C12983
C12744-K1,C12744
C07394-K1,C07394
C09876-K1,C09876
C07969-K1,C07969
C02945-K1,C02945
C03925-K1,C03925
C03707-K1,C03707
C02618-K2,C02618
C05712-K1,C05712
C12690-K2,C12690
C00197-K1,C00197
C03950-K1,C03950
C13423-K1,C13423
C06075-K1,C06075
C09557-K1,C09557
C13119-K1,C13119
C12705-K2,C12705
C04542-K1,C04542
C11964-K1,C11964
C05231-K1,C05231
C00267-K1,C00267
C09426-K1,C09426
C11500-K1,C11500
C12385-K1,C12385
C01339-K1,C01339
C06130-K1,C06130
C01627-K1,C01627
C09698-K1,C09698
C11842-K1,C11842
C10752-K1,C10752
C02330-K1,C02330
C12295-K2,C12295
C11475-K1,C11475
C01350-K1,C01350
C00368-K1,C00368
C04727-K2,C04727
C06991-K1,C06991
C08953-K1,C08953
C08196-K1,C08196
C01149-K1,C01149
C11472-K1,C11472
C08206-K2,C08206
C11633-K1,C11633
C04386-K1,C04386
C05369-K1,C05369
C09337-K1,C09337
C09983-K1,C09983
C07792-K1,C07792
C10306-K1,C10306
C11158-K1,C11158
C10381-K1,C10381
C01489-K1,C01489
C10349-K1,C10349
C07879-K1,C07879
C04587-K1,C04587
C00114-K1,C00114
C07354-K2,C07354
C05445-K1,C05445
C02653-K1,C02653
C01089-K1,C01089
C08478-K1,C08478
C01363-K1,C01363
C03528-K1,C03528
C05153-K1,C05153
C12492-K1,C12492
C03856-K1,C03856
C09601-K1,C09601
C07794-K1,C07794
C05868-K1,C05868
C01035-K1,C01035
C06836-K1,C06836
C09735-K1,C09735
C11747-K1,C11747
C00773-K2,C00773
C04352-K1,C04352
C04004-K1,C04004
C07076-K1,C07076
C04294-K1,C04294
C08635-K1,C08635
C02513-K1,C02513
C06750-K1,C06750
C12634-K1,C12634
C06660-K1,C06660
C06899-K1,C06899
C01996-K2,C01996
C10285-K1,C10285
